File Name,File Path,Last Modified,IsProd,Revision,Part Number
P0070-0052-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0052-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0052-00_RevA.x_t
P0070-0051-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0051-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0051-00_RevA.x_t
P0070-0049-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0049-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0049-00_RevA.x_t
P0070-0046-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0046-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0046-00_RevA.x_t
P0070-0043-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0043-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0043-00_RevA.x_t
A0070-0017-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\A0070-0017-00_RevA.x_t,0001-01-01 00:00:00,0,,A0070-0017-00_RevA.x_t
P0070-0040-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0040-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0040-00_RevA.x_t
A0070-0016-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\A0070-0016-00_RevA.x_t,2024-10-28 10:55:38,0,,A0070-0016-00_RevA.x_t
P0070-0039-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0039-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0039-00_RevA.x_t
A0070-0014-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\A0070-0014-00_RevA.x_t,0001-01-01 00:00:00,0,,A0070-0014-00_RevA.x_t
A0070-0011-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\A0070-0011-00_RevA.x_t,0001-01-01 00:00:00,0,,A0070-0011-00_RevA.x_t
P0070-0152-00_RevA.pdf,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0152-00_RevA.pdf,0001-01-01 00:00:00,1,A,P0070-0152-00
P0070-0153-00_RevA.pdf,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0153-00_RevA.pdf,0001-01-01 00:00:00,1,A,P0070-0153-00
P0070-0154-00_RevA.pdf,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0154-00_RevA.pdf,0001-01-01 00:00:00,1,A,P0070-0154-00
A0070-0048-00_RevA.pdf,C:\PDM\Projects\APEX - APX\CAD\Production Files\A0070-0048-00_RevA.pdf,0001-01-01 00:00:00,1,A,A0070-0048-00
P0070-0151-00_RevA.pdf,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0151-00_RevA.pdf,0001-01-01 00:00:00,1,A,P0070-0151-00
P0070-0149-00_RevA.pdf,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0149-00_RevA.pdf,0001-01-01 00:00:00,1,A,P0070-0149-00
P0070-0147-00_RevA.pdf,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0147-00_RevA.pdf,0001-01-01 00:00:00,1,A,P0070-0147-00
P0070-0053-00_RevA.pdf,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0053-00_RevA.pdf,0001-01-01 00:00:00,1,A,P0070-0053-00
P0070-0142-00_RevA.pdf,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0142-00_RevA.pdf,0001-01-01 00:00:00,1,A,P0070-0142-00
P0070-0141-00_RevA.pdf,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0141-00_RevA.pdf,0001-01-01 00:00:00,1,A,P0070-0141-00
P0070-0136-00_RevA.pdf,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0136-00_RevA.pdf,0001-01-01 00:00:00,1,A,P0070-0136-00
P0070-0134-00_RevA.pdf,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0134-00_RevA.pdf,0001-01-01 00:00:00,1,A,P0070-0134-00
P0070-0132-00_RevA.pdf,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0132-00_RevA.pdf,0001-01-01 00:00:00,1,A,P0070-0132-00
P0070-0124-00_RevA.pdf,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0124-00_RevA.pdf,0001-01-01 00:00:00,1,A,P0070-0124-00
P0070-0120-00_RevA.pdf,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0120-00_RevA.pdf,0001-01-01 00:00:00,1,A,P0070-0120-00
P0070-0097-00_RevA.pdf,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0097-00_RevA.pdf,0001-01-01 00:00:00,1,A,P0070-0097-00
P0070-0129-00_RevA.pdf,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0129-00_RevA.pdf,0001-01-01 00:00:00,1,A,P0070-0129-00
P0070-0128-00_RevA.pdf,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0128-00_RevA.pdf,0001-01-01 00:00:00,1,A,P0070-0128-00
P0070-0105-00_RevA.pdf,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0105-00_RevA.pdf,0001-01-01 00:00:00,1,A,P0070-0105-00
A0070-0040-00_RevA.pdf,C:\PDM\Projects\APEX - APX\CAD\Production Files\A0070-0040-00_RevA.pdf,0001-01-01 00:00:00,1,A,A0070-0040-00
P0070-0139-00_RevA.pdf,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0139-00_RevA.pdf,0001-01-01 00:00:00,1,A,P0070-0139-00
P0070-0138-00_RevA.pdf,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0138-00_RevA.pdf,0001-01-01 00:00:00,1,A,P0070-0138-00
P0070-0131-00_RevA.pdf,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0131-00_RevA.pdf,0001-01-01 00:00:00,1,A,P0070-0131-00
P0070-0121-00_RevA.pdf,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0121-00_RevA.pdf,0001-01-01 00:00:00,1,A,P0070-0121-00
P0070-0101-00_RevA.pdf,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0101-00_RevA.pdf,0001-01-01 00:00:00,1,A,P0070-0101-00
P0070-0096-00_RevA.pdf,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0096-00_RevA.pdf,0001-01-01 00:00:00,1,A,P0070-0096-00
P0070-0093-00_RevA.pdf,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0093-00_RevA.pdf,0001-01-01 00:00:00,1,A,P0070-0093-00
